,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
68,100275,AB3X5,100275,0.075,4,monoclinic,P,18.0,18.0,18.0,18.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP18,a9,i,3,Ge1_O5_Pb3,3,Ge+4,O-2,Pb+2,,,,
69,100279,AX2,100279,0.047,14,monoclinic,P,48.0,48.0,48.0,48.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP48,e12,i,2,O2_Si1,2,O-2,Si+4,,,,,
70,100296,AB2C3D4X15,100296,0.033,4,monoclinic,P,50.0,50.0,50.0,50.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP50,a25,i,5,O15_Pb4_S1_Si3_Zn2,5,O-2,Pb+2,S+6,Si+4,Zn+2,,
71,100311,A5B8X21,100311,0.053,15,monoclinic,C,68.0,136.0,136.0,136.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS136,f16_e_a,i,3,Ba5_O21_Si8,3,Ba+2,O-2,Si+4,,,,
72,100312,A3B5X13,100312,0.057999999999999996,14,monoclinic,P,84.0,84.0,84.0,84.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP84,e21,i,3,Ba6_O26_Si10,3,Ba+2,O-2,Si+4,,,,
73,100313,AB2X5,100313,0.040999999999999995,62,orthorhombic,P,32.0,32.0,32.0,32.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP32,d3_c2,i,3,Ba2_O10_Si4,3,Ba+2,O-2,Si+4,,,,
74,100320,ABC2X8,100320,0.048,88,tetragonal,I,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,tI64,f2_e_b_a,i,5,H4_Al2_Ca1_O8_Si1,5,Al+3,Ca+2,H+1,O-2,Si+4,,
75,100332,A2B3C4X14,100332,0.038,15,monoclinic,I,46.0,92.0,92.0,92.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS92,f10_e2_a,i,4,Ca3_Mn2_O14_Si4,4,Ca+2,Mn+3,O-2,Si+4,,,
76,100339,AB2C4X16,100339,0.037000000000000005,15,monoclinic,C,58.0,116.0,116.0,116.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS116,f11_e,i,5,H6_Ca1_O16_S2_Sb4,5,Ca+2,H+1,O-2,S+6,Sb+3,,
77,10034,A2B3X11,10034,0.033,18,orthorhombic,P,32.0,32.0,32.0,32.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP32,c7_b_a,i,3,Nb2_O11_Te3,3,Nb+5,O-2,Te+4,,,,
78,100340,AB4X10,100340,0.045,29,orthorhombic,P,68.0,68.0,68.0,68.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP68,a15,i,4,H2_O10_S1_Sb4,4,H+1,O-2,S+6,Sb+3,,,
79,100356,A3B4X9,100356,0.062,35,orthorhombic,C,48.0,96.0,96.0,96.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oS96,f7_e4_d4_c_b_a,i,3,Ca3_Ga4_O9,3,Ca+2,Ga+3,O-2,,,,
80,100365,A2B3X30,100365,0.042,2,triclinic,P,79.0,79.0,79.0,79.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP79,i17_c,i,4,H44_Mg3_O30_P2,4,H+1,Mg+2,O-2,P+5,,,
81,10038,AB2X3,10038,0.10300000000000001,71,orthorhombic,I,6.0,12.0,12.0,12.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oI12,f_e_d_c,i,3,Ba1_Mn2_O3,3,Ba+2,Mn+2,O-2,,,,
82,100404,AB2X6,100404,0.113,20,orthorhombic,C,36.0,72.0,72.0,72.0,badcount_n,po_n,undet_n,ct_n,392,noPress,oS72,c8_b_a,i,3,Be1_O6_P2,3,Be+2,O-2,P+5,,,,
83,100442,A2B4X11,100442,0.076,2,triclinic,P,17.0,17.0,17.0,17.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP17,i8_a,i,3,As2_Fe4_O11,3,As+5,Fe+3,O-2,,,,
84,100460,AB2C3X11,100460,0.059000000000000004,14,monoclinic,P,68.0,68.0,68.0,68.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP68,e17,i,4,O11_Pb2_Te3_U1,4,O-2,Pb+2,Te+4,U+6,,,
85,100477,ABC2X6,100477,0.053,150,trigonal/rhombohedral,P,30.0,30.0,30.0,30.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hP30,g3_f_e_d2_c,i,4,C2_Ba1_Ca1_O6,4,Ba+2,C+4,Ca+2,O-2,,,
