Compound,formula,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
Cs3N,Cs3N,43,5,4.5,103.1775,1.3525,0.3362225,0,6.55395375,24.768405,2.96,1.9625,242.025,727.45125,0.4415,31.4385,1.722,1.6575,51.5032,0.26931495
Cs3P,Cs3P,45,5.25,4.5,107.4175,1.14,0.5403475,0,5.54210125,22.310455,3.0225,2.0575,305.5625,846.525,0.37375,30.1135,1.865,1.7275,53.905,0.2698375
Cs3Sb,Cs3Sb,54,5.75,4.5,130.125,1.105,0.6212225,0,5.07252625,21.52558,3.0875,2.135,452.182,1173.15,0.23325,30.465,3.0835,6.4925,67.7975,0.33
AsBaCs,CsBaAs,48,5.333333333,6,115.04,1.286666667,0.42721,0,6.298056333,17.25015667,2.653333333,1.88,797.3166667,1317.15,0.258333333,28.30666667,3.705333333,12.59666667,80.11333333,0.348333333
BaBr3Cs,CsBaBr3,43.2,4.8,10.8,101.98,2.112,2.113326,0,8.9093938,19.586854,2.332,1.59,419.93,811.63,0.3736,57.47,2.9498,5.498,50.423,0.109332
BaCl3Cs,CsBaCl3,32.4,4.2,10.8,75.31,2.232,2.264526,0,9.6016918,20.920414,2.272,1.488,363.35,755.926,0.3766,32.4254,3.0062,3.938,47.708,0.1086534
BaCsF3,CsBaF3,27.6,3.6,10.8,65.44,2.724,2.133726,0,12.2747938,27.614734,2.104,1.248,292.448,663.484,0.5836,30.8384,2.0954,2.174,43.54988,0.1087674
BaCsI3,CsBaI3,54,5.4,10.8,130.18,1.932,1.929786,0,8.0918698,18.111034,2.41,1.704,492.47,886.99,0.2176,44.714,4.0418,6.674,54.128,0.111294
BaCsN,CsBaN,39.33333333,4.666666667,6,94.73666667,1.573333333,0.133876667,0,7.879889667,20.92085667,2.553333333,1.716666667,454.9833333,1046.551667,0.495333333,29.80133333,2.213333333,3.483333333,70.24426667,0.1810866
BaCsP,CsBaP,42,5,6,100.39,1.29,0.406043333,0,6.530753,17.64359,2.636666667,1.843333333,539.7,1205.316667,0.405,28.03466667,2.404,3.576666667,73.44666667,0.181783333
