formula,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
LiF,6.0,2.0,9.0,12.9705,2.48,2.0085,11.4072595,55.3054,1.645,0.95,253.565,850.095,2.203,28.082,1.1155,1.63,75.1849,0.4236395
LiHgAs,38.6666666667,4.0,9.33333333333,94.1536666667,1.68666666667,0.476,8.539273,37.662,1.96666666667,1.27333333333,592.707,1044.68966667,1.35033333333,25.8276666667,6.59866666667,10.9966666667,79.6,0.477466666667
LiHgBr3,37.6,4.0,12.8,89.4482,2.352,2.1426,10.2541238,31.83396,1.92,1.226,297.1642,648.1538,1.0288,55.9826,4.6858,4.538,50.115,0.186812
LiHgCl3,26.8,3.4,12.8,62.7782,2.472,2.2938,10.9464218,33.16752,1.86,1.124,240.5842,592.4498,1.0318,30.938,4.7422,2.978,47.4,0.1861334
LiHgF3,22.0,2.8,12.8,52.9082,2.964,2.163,13.6195238,39.86184,1.692,0.884,169.6822,500.0078,1.2388,29.351,3.8314,1.214,43.24188,0.1862474
LiHgI3,48.4,4.6,12.8,117.6482,2.172,1.95906,9.4365998,30.35814,1.998,1.34,369.7042,723.5138,0.8728,43.2266,5.7778,5.714,53.82,0.188774
LiHgN,30.0,3.33333333333,9.33333333333,73.8503333333,1.97333333333,0.182666666667,10.1211063333,41.3327,1.86666666667,1.11,250.373666667,774.091333333,1.58733333333,27.3223333333,5.10666666667,1.88333333333,69.7309333333,0.310219933333
LiHgP,32.6666666667,3.66666666667,9.33333333333,79.5036666667,1.69,0.454833333333,8.77196966667,38.0554333333,1.95,1.23666666667,335.090333333,932.856333333,1.497,25.5556666667,5.29733333333,1.97666666667,72.9333333333,0.310916666667
LiHgSb,44.6666666667,4.33333333333,9.33333333333,109.780333333,1.64333333333,0.562666666667,8.14586966667,37.0089333333,2.03666666667,1.34,530.583,1368.35633333,1.30966666667,26.0243333333,6.922,8.33,91.4566666667,0.391133333333
LiI,28.0,3.5,9.0,66.9205,1.82,1.83855,7.9214895,47.38565,1.9,1.33,420.25,1036.35,1.898,39.645,2.7375,5.38,84.0,0.425745
