,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity,energy,energy_per_atom,volume
GaI3,1.60309314719,1.24260560396,1.69169526724,1.59678384089,0.633978967409,1.3138248973,-0.0605823761039,-0.619790629872,-0.182532147639,0.122153861213,-0.693870703625,-0.278647664437,-0.947434158546,1.64520000819,1.11120448941,0.238038567018,-0.187195371502,-1.10889602574,0.172221024675,1.09930432078,1.53757093496
GaN,-0.664237148518,-0.856596924599,1.05581013647,-0.665225267319,0.591244070767,-1.43800042263,0.388509634552,0.057197670293,-1.15355748726,-1.30967584972,-1.39496740916,0.396563289076,0.0415304582495,-0.383117906415,0.0961208330231,-0.795819463774,0.991941516775,-0.830021772224,0.481462439145,-1.2250470162,-0.727336184521
GaP,-0.34601535263,-0.256824773582,1.05581013647,-0.394065566476,-0.215970643576,-0.939654937012,-0.590378922153,-0.539116457383,-0.653028961682,-0.548703415938,-0.907684207195,0.897415332127,-0.254449012928,-0.655230622138,0.277170989385,-0.761702757985,1.10582394406,-0.827055719264,0.408157424923,-0.276495182849,-0.557132928893
GaSb,1.08598272887,0.942719528451,1.05581013647,1.05814172288,-0.34892365535,-0.742208807683,-1.04465619479,-0.729532068343,-0.132479295082,0.0720898853066,0.216773308935,2.27127647752,-0.868251458692,-0.583043739439,1.81989557349,1.56067014324,1.76454308016,-0.485566558057,0.543469486963,0.391347976173,-0.657204400322
HgBr2,1.80198176962,1.14264357879,1.47973355697,1.83751268693,0.936288791806,1.16002850218,0.914948298489,-0.477986748606,-0.0857632993478,-0.308396331585,-1.11743858321,-1.40902465157,-0.709522000593,2.92440359621,2.00400543529,-0.392511263194,-1.37511044005,-1.32530966724,0.454064436347,1.57802789538,0.0727418892324
HgCl2,0.847316381952,0.342947377434,1.47973355697,0.88994596505,1.18953262375,1.36510392553,1.28702854516,-0.298247836078,-0.352711846336,-0.762309713127,-1.35850779927,-1.53919356979,-0.702240832791,0.0669804849991,2.04367609893,-0.814908572965,-1.44662874347,-1.32744956192,0.352530088952,1.38813086011,0.318930561454
HgF2,0.423020654103,-0.456748823925,1.47973355697,0.539271666396,2.22783233476,1.18769740851,2.72370531089,0.604021125899,-1.10016777788,-1.83034119915,-1.66059845952,-1.75521172177,-0.199840254408,-0.114085712001,1.40303708411,-1.29254245402,-1.5561615935,-1.32709007475,0.430556498052,0.871291044388,-0.494780932126
HgI2,2.75664715728,1.94233978014,1.47973355697,2.83943925453,0.55642304388,0.911089724391,0.475564490391,-0.676899644833,0.261269811692,0.198918624284,-0.808368930814,-1.23292365924,-1.08814272633,1.46902841726,2.77209700774,-0.074088675827,-1.27751363925,-1.31912270384,-0.187166918853,1.6980581574,5.66702276489
HgO,1.32464907578,0.342947377434,1.05581013647,1.45912552578,1.05657961198,-0.686593390454,1.24036090514,0.285335526591,-0.492859833497,-1.269624669,-1.54333541384,-1.55886016687,-0.346191727242,-0.269806064226,2.56751877162,-1.21472387271,-1.33309758564,-1.28778951828,0.0739008666405,0.778929023357,0.0334316450298
HgS,1.64287087167,0.942719528451,1.05581013647,1.7160557376,0.239868253935,-0.31062269649,0.452385861033,-0.429335292132,0.0677321151492,-0.468601054487,-0.902955364821,-0.898931512654,-0.575548513025,-0.612668086037,2.73559155663,-1.03098104296,-1.2549913006,-1.28435178031,0.472467039134,1.23546464033,-0.412955320529
HgSe,2.35886991242,1.54249167947,1.05581013647,2.4657419624,0.211378322841,-0.34548551846,0.305429593982,-0.559607591055,0.26794352538,-0.188242789409,-0.700507073277,-0.646147371252,-0.998220303969,-0.475944281892,3.64052581719,-0.58380850637,-1.06153626549,-1.25922078906,0.58133568009,1.37844101003,-0.654809448994
HgTe,3.07486895317,2.14226383048,1.05581013647,3.24340751953,-0.215970643576,-0.375514419736,0.125781712736,-0.716695163084,0.58828178175,0.192243427483,-0.262000124143,-0.327525153836,-1.12818914925,-0.457101759878,4.09030251683,0.890520565237,-0.773368869436,-1.25482180132,0.545708410491,1.51633911657,-0.452265024982
In2O3,-0.234637724069,-0.616688064192,1.31016418877,-0.228587800926,1.25790845838,-0.36175373676,0.494284432165,0.489346793978,-1.25766742058,-1.38176797503,-1.31258577528,-0.267137726011,-0.0949914380502,-0.306536146646,0.225198199744,-1.17056710779,0.118552250866,-0.479718912703,-0.0404628606818,-0.899738248109,-0.416762871579
In2S3,0.147228430997,0.103038517027,1.31016418877,0.0797284532628,0.277854828728,0.0894110959964,-0.451285620769,-0.368258188489,-0.584957082204,-0.420539637616,-0.544129716457,0.524776659052,-0.37021958099,-0.71797057282,0.426885541762,-0.950075712093,0.212279792915,-0.475593627141,-0.311263945546,0.135691758319,1.08585330674
In2Se3,1.0064272799,0.822765098247,1.31016418877,0.979351923016,0.243666911415,0.0475757096325,-0.62763314123,-0.524584947197,-0.344703389926,-0.0841097195226,-0.301191766604,0.828117628735,-0.877425730123,-0.553902007845,1.51280665443,-0.413468668179,0.444425835049,-0.445436437638,0.40994009746,0.313985316257,-0.405168149885
In2Te3,1.86562612879,1.54249167947,1.31016418877,1.91255059158,-0.269151848286,0.0115410281006,-0.843210598725,-0.713090033632,0.0397025177169,0.372473740747,0.225016572357,1.21046428963,-1.03338834446,-0.531290981429,2.05253869399,1.35572621775,0.790226710311,-0.440157652349,-1.10917484556,0.570849521106,4.05752575841
